Pan ID,Frag.ID,Sample Volume (mL),Burned Pan (g),Burned Pan + Dry Residue,Dry Tissue biomass (g) (E-D),Burned.Pan.Burned.residue,AFDW.g,AFDW.g.mL
67,2285,0.9,0.41054,0.45401,0.04347,0.442,0.01334311,0.012008799
79,3477,0.9,0.4041,0.44657,0.04247,0.43604,0.01169883,0.010528947
42,2629,0.9,0.40974,0.45233,0.04259,0.44082,0.01278761,0.011508849
34,1068,0.9,0.41267,0.46316,0.05049,0.4455,0.01962026,0.017658234
32,3085,0.9,0.40741,0.45155,0.04414,0.43955,0.013332,0.0119988
20,2284,0.9,0.40495,0.45254,0.04759,0.43692,0.01735382,0.015618438
160,3025,0.9,0.4068,0.44992,0.04312,0.4373,0.01402082,0.012618738
157,2736,0.9,0.41611,0.45902,0.04291,0.4475,0.01279872,0.011518848
51,3478,0.9,0.40953,0.45303,0.0435,0.43994,0.01454299,0.013088691
64,N42,0.9,0.40817,0.4577,0.04953,0.44052,0.01908698,0.017178282
6,3512,0.9,0.40838,0.45013,0.04175,0.43916,0.01218767,0.010968903
52,3086,0.9,0.40522,0.44893,0.04371,0.43651,0.01379862,0.012418758
30,3059,0.9,0.4087,0.44743,0.03873,0.43361,0.01535402,0.013818618
2,N105,0.9,0.41141,0.46257,0.05116,0.44584,0.01858703,0.016728327
107,1388,0.9,0.40733,0.44309,0.03576,0.43169,0.0126654,0.01139886
97,N217,0.9,0.40665,0.45403,0.04738,0.43891,0.01679832,0.015118488
62,1857,0.9,0.40796,0.45304,0.04508,0.43861,0.01603173,0.014428557
33,477,0.9,0.41693,0.45855,0.04162,0.44793,0.01179882,0.010618938
31,2226,0.9,0.40989,0.45273,0.04284,0.44122,0.01278761,0.011508849
121,1803,0.9,0.40962,0.45792,0.0483,0.44113,0.01865369,0.016788321
65,3516,0.9,0.40947,0.45196,0.04249,0.44004,0.01324312,0.011918808
50,1279,0.9,0.4046,0.44835,0.04375,0.43562,0.01414303,0.012728727
158,N191,0.9,0.413131,0.45509,0.041959,0.44367,0.01268762,0.011418858
10,N122,0.9,0.40812,0.45701,0.04889,0.44118,0.01758713,0.015828417
16,422,0.9,0.40529,0.44537,0.04008,0.43612,0.01027675,0.009249075
66,2136,0.9,0.4099,0.45615,0.04625,0.44156,0.01620949,0.014588541
39,3081,0.9,0.41141,0.45877,0.04736,0.44458,0.01576509,0.014188581
111,1502,0.9,0.41266,0.46951,0.05685,0.4492,0.02256441,0.020307969
85,1195,0.9,0.4121,0.45604,0.04394,0.44412,0.01324312,0.011918808
43,1104,0.9,0.40617,0.453,0.04683,0.43793,0.01674277,0.015068493
23,N217,0.9,0.41003,0.45392,0.04389,0.44101,0.01434301,0.012908709
29,3204,0.9,0.40772,0.45543,0.04771,0.43998,0.01716495,0.015448455
15,3164,0.9,0.40733,0.45019,0.04286,0.43882,0.01263207,0.011368863
13,N110,0.9,0.41099,0.45755,0.04656,0.44241,0.01682054,0.015138486
26,2214,0.9,0.40118,0.44913,0.04795,0.43357,0.01728716,0.015558444
44,N211,0.9,0.40429,0.45817,0.05388,0.43781,0.02261996,0.020357964
1,N223,0.9,0.41148,0.45518,0.0437,0.44205,0.01458743,0.013128687
113,2893,0.9,0.4079,0.45018,0.04228,0.43964,0.01170994,0.010538946
69,832,0.9,0.40947,0.45205,0.04258,0.44031,0.01304314,0.011738826
4,3442,0.9,0.41037,0.47238,0.06201,0.44829,0.02676399,0.024087591
68,1166,0.9,0.412,0.45418,0.04218,0.44271,0.01274317,0.011468853
27,3317,0.9,0.416,0.46085,0.04485,0.44787,0.01442078,0.012978702
14,N208,0.9,0.4093,0.45761,0.04831,0.44107,0.01837594,0.016538346
3,N138,0.9,0.41239,0.46124,0.04885,0.44508,0.01795376,0.016158384
84,2849,0.9,0.40287,0.44719,0.04432,0.43448,0.01412081,0.012708729
17,N77,0.9,0.41035,0.46696,0.05661,0.44573,0.02358653,0.021227877
D,337,0.9,0.40778,0.45223,0.04445,0.43916,0.01307,0.011763
A,2663,0.9,0.41755,0.46187,0.04432,0.44794,0.01393,0.012537
H,1226,0.9,0.40845,0.45063,0.04218,0.43867,0.01196,0.010764
C,3484,0.9,0.40412,0.44432,0.0402,0.4339,0.01042,0.009378
G,3486,0.9,0.40817,0.44893,0.04076,0.43822,0.01071,0.009639
1,3515,0.9,0.41446,0.45386,0.0394,0.44427,0.00959,0.008631
2,3467,0.9,0.40996,0.46058,0.05062,0.44314,0.01744,0.015696
3,3337,0.9,0.41115,0.45775,0.0466,0.44319,0.01456,0.013104
4,1526,0.9,0.40268,0.44433,0.04165,0.43285,0.01148,0.010332
5,N205,0.9,0.41571,0.4669,0.05119,0.44842,0.01848,0.016632
6,2879,0.9,0.41351,0.4538,0.04029,0.4429,0.0109,0.00981
7,473,0.9,0.40261,0.44272,0.04011,0.4321,0.01062,0.009558
8,N132,0.9,0.41192,0.45496,0.04304,0.44149,0.01347,0.012123
9,619,0.9,0.41321,0.4636,0.05039,0.4442,0.0194,0.01746
10,775,0.9,0.40353,0.44537,0.04184,0.43322,0.01215,0.010935
11,1736,0.9,0.41064,0.46123,0.05059,0.44129,0.01994,0.017946
12,2731,0.9,0.40867,0.452,0.04333,0.43864,0.01336,0.012024
13,2328,0.9,0.41109,0.45399,0.0429,0.4407,0.01329,0.011961
14,3185,0.9,0.40465,0.45447,0.04982,0.43541,0.01906,0.017154
15,3383,0.9,0.40416,0.44542,0.04126,0.43332,0.0121,0.01089
16,N217,0.9,0.41141,0.4554,0.04399,0.44157,0.01383,0.012447
17,N131,0.9,0.40967,0.45662,0.04695,0.43755,0.01907,0.017163
56,N222,0.9,0.40836,0.45696,0.0486,0.44255,0.01600951,0.014408559
138,848,0.9,0.41223,0.46427,0.05204,0.44373,0.02281994,0.020537946
60,471,0.9,0.40694,0.45314,0.0462,0.43749,0.01738715,0.015648435
128,N115,0.9,0.40028,0.45325,0.05297,0.43402,0.02136453,0.019228077
58,2142,0.9,0.41415,0.46504,0.05089,0.4461,0.02104234,0.018938106
155,N158,0.9,0.40205,0.44944,0.04739,0.4334,0.01782044,0.016038396
49,3468,0.9,0.40761,0.46547,0.05786,0.44071,0.02750836,0.024757524
83,779,0.9,0.41769,0.46102,0.04333,0.44812,0.0143319,0.01289871
96,N131,0.9,0.40258,0.46169,0.05911,0.43569,0.028886,0.0259974
81,1688,0.9,0.41595,0.47644,0.06049,0.44864,0.0308858,0.02779722
171,403,0.9,0.40921,0.46126,0.05205,0.44202,0.02137564,0.019238076
41,579,0.9,0.41342,0.4721,0.05868,0.44737,0.02747503,0.024727527
92,1556,0.9,0.41686,0.46631,0.04945,0.44797,0.02037574,0.018338166
38,1037,0.9,0.40888,0.4544,0.04552,0.43813,0.01807597,0.016268373
28,N189,0.9,0.41196,0.46322,0.05126,0.44298,0.02248664,0.020237976
99,840,0.9,0.40618,0.45229,0.04611,0.43682,0.01718717,0.015468453
21,955,0.9,0.40746,0.46552,0.05806,0.43894,0.02953038,0.026577342
74,3487,0.9,0.4106,0.4559,0.0453,0.441,0.0165539,0.01489851
48,761,0.9,0.40582,0.46585,0.06003,0.44105,0.0275528,0.02479752
88,419,0.9,0.40186,0.46279,0.06093,0.43505,0.03081914,0.027737226
131,N192,0.9,0.40976,0.46062,0.05086,0.44227,0.02038685,0.018348165
86,N131,0.9,0.4181,0.48163,0.06353,0.45335,0.03141908,0.028277172
129,N104,0.9,0.40998,0.45749,0.04751,0.4402,0.01920919,0.017288271
150,N209,0.9,0.4105,0.46108,0.05058,0.44101,0.02229777,0.020067993
35,650,0.9,0.4069,0.4597,0.0528,0.43773,0.02440867,0.021967803
72,1254,0.9,0.40852,0.45841,0.04989,0.43961,0.0208868,0.01879812
40,199,0.9,0.40668,0.46543,0.05875,0.44146,0.02663067,0.023967603
78,N126,0.9,0.40944,0.45514,0.0457,0.44025,0.01654279,0.014888511
70,N98,0.9,0.40931,0.47051,0.0612,0.44396,0.0331875,0.02986875
46,153,0.9,0.40589,0.46933,0.06344,0.43977,0.03284116,0.029557044
47,1418,0.9,0.40559,0.45361,0.04802,0.43622,0.01932029,0.017388261
80,3390,0.9,0.4095,0.46228,0.05278,0.44216,0.02235332,0.020117988
61,1573,0.9,0.41045,0.45695,0.0465,0.44025,0.0185537,0.01669833
45,N124,0.9,0.40142,0.45625,0.05483,0.43505,0.0235532,0.02119788
98,N161,0.9,0.40979,0.46127,0.05148,0.44222,0.02116455,0.019048095
115,N184,0.9,0.41276,0.45942,0.04666,0.44375,0.01740937,0.015668433
25,N37,0.9,0.40674,0.4612,0.05446,0.44005,0.02349765,0.021147885
177,436,0.9,0.41419,0.46455,0.05036,0.44521,0.02148674,0.019338066
130,N96,0.9,0.41681,0.46693,0.05012,0.44753,0.0215534,0.01939806
71,3475,0.9,0.40926,0.45603,0.04677,0.44037,0.01739826,0.015658434
76,3035,0.9,0.41521,0.4605,0.04529,0.44539,0.01678721,0.015108489
37,N30,0.9,0.41144,0.45955,0.04811,0.44246,0.01898699,0.017088291
123,N111,0.9,0.41472,0.46239,0.04767,0.44557,0.01868702,0.016818318
90,N11,0.9,0.41105,0.45497,0.04392,0.4412,0.01529847,0.013768623
18,249,0.9,0.3967,0.44518,0.04848,0.42845,0.01858703,0.016728327
36,N4,0.9,0.40987,0.45609,0.04622,0.44013,0.01773156,0.015958404
124,N172,0.9,0.40406,0.45169,0.04763,0.43544,0.01805375,0.016248375
59,N85,0.9,0.40975,0.45803,0.04828,0.44105,0.01886478,0.016978302
75,428,0.9,0.4046,0.45139,0.04679,0.43484,0.01838705,0.016548345
120,N25,0.9,0.40957,0.47194,0.06237,0.44706,0.02764168,0.024877512
108,N82,0.9,0.41219,0.46003,0.04784,0.4435,0.01836483,0.016528347
136,N109,0.9,0.41063,0.45554,0.04491,0.44158,0.01550956,0.013958604
106,N56,0.9,0.40916,0.45301,0.04385,0.43969,0.01479852,0.013318668
105,N145,0.9,0.41436,0.46671,0.05235,0.44603,0.02297548,0.020677932
114,263,0.9,0.40812,0.45136,0.04324,0.43861,0.01416525,0.012748725
54,785,0.9,0.4166,0.46574,0.04914,0.44888,0.01873146,0.016858314
148,797,0.9,0.40747,0.45357,0.0461,0.43909,0.01608728,0.014478552
221,N78,0.9,0.41176,0.46492,0.05316,0.44571,0.02134231,0.019208079
241,N89,0.9,0.41106,0.4552,0.04414,0.44258,0.01402082,0.012618738
151,664,0.9,0.4015,0.4508,0.0493,0.43332,0.01942028,0.017478252
110,1240,0.9,0.40873,0.45202,0.04329,0.439,0.01446522,0.013018698
101,1753,0.9,0.40167,0.44893,0.04726,0.43359,0.01704274,0.015338466
103,N3,0.9,0.41002,0.45787,0.04785,0.44256,0.01700941,0.015308469
112,N50,0.9,0.40702,0.45501,0.04799,0.43921,0.0175538,0.01579842
55,N87,0.9,0.41519,0.46242,0.04723,0.44719,0.01692053,0.015228477
116,616,0.9,0.41444,0.46421,0.04977,0.44576,0.02049795,0.018448155
57,N40,0.9,0.40123,0.44264,0.04141,0.43179,0.01205435,0.010848915
195,N6,0.9,0.41214,0.46428,0.05214,0.44533,0.02105345,0.018948105
222,N70,0.9,0.40766,0.45444,0.04678,0.44002,0.01602062,0.014418558
87,N38,0.9,0.41286,0.45954,0.04668,0.44399,0.01727605,0.015548445
178,74,0.9,0.40836,0.45971,0.05135,0.4411,0.02067571,0.018608139
179,1108,0.9,0.41214,0.46272,0.05058,0.44411,0.02067571,0.018608139
175,N94,0.9,0.40863,0.45563,0.047,0.43989,0.01748714,0.015738426
102,N7,0.9,0.40409,0.45232,0.04823,0.43603,0.01809819,0.016288371
135,N9,0.9,0.40904,0.45082,0.04178,0.43912,0.0129987,0.01169883
119,N2,0.9,0.41297,0.45464,0.04167,0.44328,0.01262096,0.011358864
94,488,0.9,0.41267,0.45956,0.04689,0.4433,0.01806486,0.016258374
154,208,0.9,0.40608,0.4514,0.04532,0.4368,0.0162206,0.01459854
189,N107,0.9,0.41051,0.45933,0.04882,0.44429,0.01670944,0.015038496
122,755,0.9,0.40029,0.44462,0.04433,0.43193,0.01409859,0.012688731
126,N72,0.9,0.41729,0.4675,0.05021,0.44834,0.02128676,0.019158084
204,391,0.9,0.4177,0.46153,0.04383,0.4483,0.01469853,0.013228677
174,N35,0.9,0.41355,0.4574,0.04385,0.44422,0.01464298,0.013178682
144,915,0.9,0.41167,0.46138,0.04971,0.44333,0.02005355,0.018048195
104,N21,0.9,0.40809,0.45169,0.0436,0.4385,0.01465409,0.013188681
93,N10,0.9,0.41251,0.45774,0.04523,0.44281,0.01658723,0.014928507
153,N141,0.9,0.40736,0.45066,0.0433,0.43761,0.01449855,0.013048695
132,N169,0.9,0.4045,0.44571,0.04121,0.43517,0.01170994,0.010538946
145,18,0.9,0.40614,0.45039,0.04425,0.43726,0.01458743,0.013128687
143,3480,0.9,0.40951,0.45509,0.04558,0.44025,0.01648724,0.014838516
77,3470,0.9,0.40411,0.45356,0.04945,0.43568,0.01986468,0.017878212
152,3422,0.9,0.1307,0.46153,0.33083,0.44328,0.02027575,0.018248175
89,2948,0.9,0.40991,0.45526,0.04535,0.44073,0.01614283,0.014528547
88,1061,0.9,0.41168,0.45473,0.04305,0.44186,0.01429857,0.012868713
109,335,0.9,0.40818,0.45454,0.04636,0.43836,0.01797598,0.016178382
147,N60,0.9,0.41126,0.4563,0.04504,0.44203,0.01585397,0.014268573
100,914,0.9,0.40693,0.44892,0.04199,0.43756,0.01262096,0.011358864
19,3489,0.9,0.40557,0.44872,0.04315,0.436,0.01413192,0.012718728
237,3444,0.9,0.40181,0.45838,0.05657,0.43585,0.02503083,0.022527747
245,1982,0.9,0.40554,0.45208,0.04654,0.43594,0.01793154,0.016138386
215,148,0.9,0.40817,0.45905,0.05088,0.4416,0.01938695,0.017448255
240,N47,0.9,0.40902,0.46792,0.0589,0.44237,0.02838605,0.025547445
247,634,0.9,0.41243,0.45969,0.04726,0.44332,0.01818707,0.016368363
229,N19,0.9,0.40916,0.46162,0.05246,0.44227,0.02149785,0.019348065
200,231,0.9,0.41702,0.4666,0.04958,0.44847,0.02014243,0.018128187
196,N64,0.9,0.41562,0.46307,0.04745,0.44686,0.01800931,0.016208379
253,N33,0.9,0.40636,0.45302,0.04666,0.43723,0.01754269,0.015788421
233,31,0.9,0.40193,0.45328,0.05135,0.43394,0.02148674,0.019338066
256,N55,0.9,0.41354,0.46623,0.05269,0.44526,0.02329767,0.020967903
255,3474,0.9,0.41063,0.45707,0.04644,0.4409,0.01796487,0.016168383
260,3517,0.9,0.4119,0.46766,0.05576,0.44547,0.02465309,0.022187781
225,N84,0.9,0.40776,0.46021,0.05245,0.43961,0.0228866,0.02059794
185,1413,0.9,0.40689,0.45485,0.04796,0.43809,0.01862036,0.016758324
186,N212,0.9,0.41584,0.46212,0.04628,0.44714,0.01664278,0.014978502
214,1771,0.9,0.41125,0.45699,0.04574,0.44124,0.01749825,0.015748425
206,N102,0.9,0.40745,0.45439,0.04694,0.43812,0.01807597,0.016268373
184,3491,0.9,0.41118,0.45931,0.04813,0.44305,0.01806486,0.016258374
172,1437,0.9,0.41062,0.46021,0.04959,0.44267,0.01948694,0.017538246
250,3481,0.9,0.40362,0.45071,0.04709,0.43622,0.01609839,0.014488551
